,deck_code,region_1,region_2,champion_1,champion_2,champion_3,champion_4,matches_played
51,CIBQGAQGCY5D4AYBAAER2KYDAIAAMCIKAMAQEBQIAMAQAFI2GMAQEAAHAIAQEBQFAIAQAJJJ,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,256
52,CIBQIAIDCQMSONYHAECACDA4EYTSQLIBAICAGAICAECA2NYA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,253
53,CICAIAICAIHSKOAEAEBQIJBOGYBAEAQCAUBAEAYHBEBACAICGEAQEAYBAA,Ionia,Noxus,Yasuo,Swain,None,None,248
54,CIBQEAQGBALAMAIAAEERMHJHFMAQEAAKAICACAAVDISSMAQCAAEASAIBAIAAO,Bilgewater,Demacia,Miss Fortune,Lucian,None,None,247
55,CIBQKAIABIHRUGZWAYAQKGRAFAUTCNQBAICQIAQBAEAAEAIBAUHQA,Demacia,Shadow Isles,None,None,None,None,247
56,CIBQMAIEBAMRWHZUHICACAIDAQQCUAYCAEBAOCQAAEAQCAJS,Piltover & Zaun,Freljord,Teemo,Sejuani,None,None,241
57,CIBQCAICFECQCBA3D4SCWNAEAIBACAYFBEBACAIEAECACAQCFYYTQAA,Ionia,Piltover & Zaun,Karma,Ezreal,None,None,238
58,CICAEAIDAQXAIAQDAEDQQCIGAECBWHZEE42DUAICAQAQAAIBAICAM,Noxus,Piltover & Zaun,Swain,Ezreal,None,None,229
59,CIBQEAIEBA5AGAICAIZDSBACAIAQGCIKAMAQCBA3AIAQEBBXAIBAEBIGAEBQCAQYFEYQ,Piltover & Zaun,Ionia,Teemo,Lee Sin,Karma,None,218
60,CIBAGAIEDMSDICACAYEAWGQ4DUQS2OQCAEAQIHYCAIDAIFABAEBAMEQ,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,204
61,CIBQIAIEBAITINQGAEBQEDY6EUUC6AQCAMBQIAICAECB6JYA,Piltover & Zaun,Noxus,Teemo,None,None,None,201
62,CIBAKAIFAMKCQMJUA4AQCAYHBMJB4JRSAEAQCAJKAEBACBIBB4,Shadow Isles,Freljord,Thresh,Ashe,None,None,200
63,CIBQEAIEDM2ACAQEBADACBI5EEUDENJWAMAQCBBQAEBAIBQDAECQCMJYAIAQCBA7AIAQKDYZ,Piltover & Zaun,Shadow Isles,Vi,Elise,None,None,199
64,CICACAIEBAAQEBADBIAQEBQJBQIRIFJIFQYTEAICAICQAAIBAEBAE,Piltover & Zaun,Ionia,Teemo,Zed,None,None,196
65,CIBAEAIDCQ3QQAIEAEGBYJZIFU2DMBABAECA2AICAQBQEAIDDETQCAQDAMAA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,195
66,CICAGAIBBEFTEAICAEDQGAIDAQPC4BICAMAQGBYIBEBACAIBA4AQEAYEAA,Freljord,Noxus,Braum,Swain,None,None,190
67,CIBAOAIBAMCASFRFFYZAIAQBAEBAMBYBAMAQCDIUGYAQCAIBAU,Freljord,None,Braum,Sejuani,None,None,188
68,CIBAMAIFBYIB4KBQGEAQEBIGAICQCBIUDEQCEKQCAICQCBABAUAQKAJBEM2DM,Shadow Isles,None,Kalista,Hecarim,Thresh,None,185
69,CIBQIAQGBEIBUKYHAECACDA4E4UDINYBAICAGAICAECBULIA,Bilgewater,Piltover & Zaun,Twisted Fate,Jinx,None,None,183
70,CIBQCAIDFYBQEAYHBAEQMAIEDMPSIKZRGQBACAIDFMBQCBA2E45AEAIBAMLACAQDAE,Noxus,Piltover & Zaun,Swain,Ezreal,None,None,178
71,CICAIAIABQHRUMICAIAACCQFAEAQQCIQDE2QEAQBAMDQAAIBAEAQI,Demacia,Freljord,Garen,Braum,None,None,177
72,CIBAEAQGCANAQAIEAEGBYJZIFU2DOAYBAECCMAICAQBQGAQGA4ESWAA,Bilgewater,Piltover & Zaun,Twisted Fate,Jinx,None,None,177
73,CIBQIAQGBEIBUKYHAECACDA4E4WTINYBAICAGAQBAECCMAICAYXAA,Bilgewater,Piltover & Zaun,Twisted Fate,Fizz,None,None,174
74,CIBAQAIFA4HBAHRIFIYTMAICAUDACBQBAUAQGDYUDUVQCAIBAUJQ,Shadow Isles,None,Kalista,Hecarim,None,None,164
75,CIBQCAQGCYDQCAABBEFRUHJHFMBAEAAGBEBAGAIACUUTGAQCAADQUAA,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,164
76,CIBQIAIFCQVTCNAFAEAAMDY2EEVAEAQAAEEQEAICAABAEAIFAEUACAICAACQ,Shadow Isles,Demacia,Thresh,Lux,None,None,154
77,CICAIAICAIEA6OIBAIBAKBABAMPCILRPAIBAGBYJAIAQCAZWAEBAGAIDAEAQGEYBAEBDCAICAIDQ,Ionia,Noxus,Yasuo,Swain,None,None,152
78,CIBQEAIDAQXAIAQDAEDQQCIHAECBWHZEE4VTIOQAAEAQCBBR,Noxus,Piltover & Zaun,Swain,Ezreal,None,None,150
79,CIBQEAIFAM2QQAIDAIEA6HRFEYUC6AYCAMBQIBIAAEAQCBIZ,Shadow Isles,Noxus,Elise,Darius,None,None,145
80,CIBQIAIFCQVTCNAFAEAAMDY2EEVAGAQAAEBASAIBAECSQAQBAECQCAICAACQ,Shadow Isles,Demacia,Thresh,Lux,None,None,142
